"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Mon Sep 30 06:11:45 GMT 2024","Mon Sep 30 06:11:46 GMT 2024","579","Surefire suite","Surefire test","test.api.ApiPutTest","test.api.ApiPutTest","updateProject","API Post проверка обновления проекта","API Post Тест на проверку обновления проекта"
"broken","Mon Sep 30 06:11:48 GMT 2024","Mon Sep 30 06:11:48 GMT 2024","1","Surefire suite","Surefire test","test.gui.PositiveTests","test.gui.PositiveTests","setup","setup",""
"skipped","Mon Sep 30 06:11:48 GMT 2024","Mon Sep 30 06:11:48 GMT 2024","1","Surefire suite","Surefire test","test.gui.PositiveTests","test.gui.PositiveTests","boundaryValuesTest","boundaryValuesTest",""
"skipped","Mon Sep 30 06:11:48 GMT 2024","Mon Sep 30 06:11:48 GMT 2024","0","Surefire suite","Surefire test","test.gui.PositiveTests","test.gui.PositiveTests","fileUploadTest","Тест на загрузку файла","Тест на загрузку файла"
"passed","Mon Sep 30 06:11:45 GMT 2024","Mon Sep 30 06:11:45 GMT 2024","566","Surefire suite","Surefire test","test.api.ApiGetTests","test.api.ApiGetTests","getSingleProject","API GET проверка проекта по id","API GET проверка проекта по id"
"passed","Mon Sep 30 06:11:44 GMT 2024","Mon Sep 30 06:11:45 GMT 2024","595","Surefire suite","Surefire test","test.api.ApiGetTests","test.api.ApiGetTests","getInvalidProjectTest","API GET проверка несуществующего проекта","API GET проверка несуществующего проекта"
"skipped","Mon Sep 30 06:11:48 GMT 2024","Mon Sep 30 06:11:48 GMT 2024","0","Surefire suite","Surefire test","test.gui.PositiveTests","test.gui.PositiveTests","addTestCase","Тест на создание сущности","Тест на создание сущности"
"skipped","Mon Sep 30 06:11:48 GMT 2024","Mon Sep 30 06:11:48 GMT 2024","0","Surefire suite","Surefire test","test.gui.PositiveTests","test.gui.PositiveTests","boundaryValuesTest","boundaryValuesTest",""
"passed","Mon Sep 30 06:11:42 GMT 2024","Mon Sep 30 06:11:43 GMT 2024","1079","Surefire suite","Surefire test","test.api.ApiPostTest","test.api.ApiPostTest","addInvalidNameProject","API Post проверка создания проекта с некоректным количеством символов в имени","API Post Тест на проверку создания проекта с некоректным количеством символов в имени"
"skipped","Mon Sep 30 06:11:49 GMT 2024","Mon Sep 30 06:11:49 GMT 2024","0","Surefire suite","Surefire test","test.gui.NegativeTests","test.gui.NegativeTests","invalidTest","Тест воспроизводящий любой дефект","Тест воспроизводящий любой дефект для формирования скриншота в allure report"
"passed","Mon Sep 30 06:11:43 GMT 2024","Mon Sep 30 06:11:43 GMT 2024","655","Surefire suite","Surefire test","test.api.ApiPostTest","test.api.ApiPostTest","addProject","API Post проверка создания проекта","API Post Тест на проверку создания проекта"
"skipped","Mon Sep 30 06:11:49 GMT 2024","Mon Sep 30 06:11:49 GMT 2024","0","Surefire suite","Surefire test","test.gui.NegativeTests","test.gui.NegativeTests","dataExceedsTheLimitTest","dataExceedsTheLimitTest",""
"passed","Mon Sep 30 06:11:39 GMT 2024","Mon Sep 30 06:11:42 GMT 2024","2785","Surefire suite","Surefire test","test.api.ApiJsonFileTest","test.api.ApiJsonFileTest","addProjectUsingJsonFileTest","API Post создание проекта c использованием данных из JSON","API Post Тест на проверку создания проекта c использованием данных из JSON"
"broken","Mon Sep 30 06:11:49 GMT 2024","Mon Sep 30 06:11:49 GMT 2024","0","Surefire suite","Surefire test","test.gui.NegativeTests","test.gui.NegativeTests","setup","setup",""
"skipped","Mon Sep 30 06:11:48 GMT 2024","Mon Sep 30 06:11:48 GMT 2024","0","Surefire suite","Surefire test","test.gui.PositiveTests","test.gui.PositiveTests","dialogWindowTest","Отображение диалогового окна","Тест на проверку отображения диалогового окна"
"broken","Mon Sep 30 06:11:43 GMT 2024","Mon Sep 30 06:11:44 GMT 2024","607","Surefire suite","Surefire test","test.api.ApiDeleteTest","test.api.ApiDeleteTest","deleteProject","API DELETE удаление проекта","API DELETE тест на проверку удаления проекта"
"skipped","Mon Sep 30 06:11:49 GMT 2024","Mon Sep 30 06:11:49 GMT 2024","0","Surefire suite","Surefire test","test.gui.NegativeTests","test.gui.NegativeTests","popUpMessageTest","Тест на проверку всплывающего сообщения","Тест на проверку всплывающего сообщения при невалидном логине"
"passed","Mon Sep 30 06:11:44 GMT 2024","Mon Sep 30 06:11:44 GMT 2024","254","Surefire suite","Surefire test","test.api.ApiGetTests","test.api.ApiGetTests","getAllProjects","API GET проверка имеющихся проектов","API GET Тест на проверку имеющихся проектов"
"skipped","Mon Sep 30 06:11:48 GMT 2024","Mon Sep 30 06:11:48 GMT 2024","1","Surefire suite","Surefire test","test.gui.PositiveTests","test.gui.PositiveTests","deleteTestCaseTest","Тест на удаление сущности","Тест на удаление сущности"
"skipped","Mon Sep 30 06:11:48 GMT 2024","Mon Sep 30 06:11:48 GMT 2024","0","Surefire suite","Surefire test","test.gui.PositiveTests","test.gui.PositiveTests","boundaryValuesTest","boundaryValuesTest",""
